rpid,name,content,like,rcount,sentiment_score,analysis_result,bertlabel
2064326250,喜欢看胖胖吃播,"跨时代-周杰伦
她说-林俊杰
需要人陪-王力宏
我们没有在一起-刘若英
雨爱-杨丞琳
爱不单行-罗志祥
美人计-蔡依林
潇洒小姐-萧亚轩
如果这就是爱情-张靓颖
情歌没有告诉你-梁静茹
星月神话-金莎
一丝不挂-陈奕迅
庐州月-许嵩
老街-李荣浩
写不完的温柔-邓紫棋
春秋-张敬轩
宝贝-莫文蔚
寂寞寂寞就好-田馥甄
给我一个理由忘记-Alin
这就是爱-张杰
我记得我爱过-何润东
启程-水木年华
新贵妃醉酒-李玉刚
越伤越爱-何洁
心疼你的心疼-飞轮海
爱上你-S H E
这叫爱-BY2
当你-林俊杰
烟花易冷-周杰伦
你不知道的事-王力宏
每一天都不同-郭静
错的人-萧亚轩
爱疯头-罗志祥
破心脏-吴克群
素颜-许嵩/何曼婷
小星星-汪苏泷
客官不可以-徐良/小凌
爱情买卖-凤凰传奇
荷塘月色-凤凰传奇",1913,30,1.0,positive,neutral
2064311353,张鱼小丸子emm,阿婆再出九个合集，就是年更阿婆了[doge],1201,9,0.3739217691158484,neutral,negative
2064281815,逍遥走天涯01,那一年的校园三巨头    许嵩  汪苏泷  徐良哈哈[偷笑],1135,28,0.9989032210446804,positive,negative
2064294363,星空下De传说,"课代表来了！
1 跨时代
2 她说
3 需要人陪
4 我们没有在一起
5 雨爱
6 爱不单行
7 美人计
8 潇洒小姐
9 如果这就是爱情
10 情歌没有告诉你
11 星月神话
12 一丝不挂
13 庐州月
14 老街
15 写不完的温柔
16 春秋
17 宝贝
18 寂寞寂寞就好
19 给我一个理由忘记
20 这就是爱
21 我记得我爱过
22 启程
23 新贵妃醉酒
24 越伤越爱
25 心疼你的心疼
26 爱上你
27 这叫爱
28 当你
29 烟花易冷
30 你不知道的事
31 匿名的好友
32 每一天都不同
33 错的人
34 爱疯头
35 破心脏
36 素颜
37 小星星
38 客官不可以
39 爱情买卖
40 荷塘月色",495,43,0.9999616172455464,positive,negative
2064349701,艾伊卡_,当年我伦被好些人说得太惨太惨才能写出了超人不会飞这种歌...跨时代那张专辑里好多好多好歌，比如好久不见我落泪情绪零碎雨下一整晚当时都没人听，一说偶像是周杰伦身边全是鄙夷和不屑的目光[大哭]现在可好，十个人里有十一个青春全是周杰伦有意思吗[无语],350,78,0.9999979960616696,positive,negative
2064447216,搓脸小海獭,素颜真的是  全是回忆  曾经3巨头的歌火遍整个学校[笑哭]   素颜一播放感觉全校都在唱  现在还有一个许嵩的歌单专门听他的歌[画风突变],290,11,0.999999654209745,positive,negative
2158555241,饲养员赵大叔,"年龄越大越能接受凤凰传奇，他们才是真正做到了流行的极致，甚至欧美都有一定知名度~

如同当年的鸟叔一样，《江南》那歌也是旋律简单，但别具一格，所以席卷全球！

凤凰传奇带着点草原味，带着点山歌，带着点民族风，甚至是古风，包括大陆最早的RAP!风格独树一帜，朗朗上口，风靡大江南北不奇怪，别拿逼格来比较脍炙人口的东西。群众都喜欢的作品就是艺术！",233,12,0.9999999999181006,positive,negative
2543026053,奕雨沉冰,回复 @佛系奶瓶 :有病？,0,0,0.8590167466340808,positive,negative
2571164765,各种晚期患者,都是些嘴巴叫的凶，一唱就破音的玩意 ，说人家口水你到是唱啊，能像唱老鼠爱大米那样轻轻松松的唱啊。,3,0,0.0291199209015858,negative,positive
2585307251,FreyaJiao,尊重你的见解，每个人对艺术的看法不一样，但是，你说的话太绝对了，凤凰传奇的歌曲通俗不媚俗，也不低俗，但是不一定说群众喜欢的就是艺术，那么，艺术家是不是要为了群众的认可来创作呢？绝大部分古典艺术派的艺术家毕生都未被世人接受过，如果按照你的说法，群众都喜欢的就是艺术，他们是不是要改变风格来迎合当时的群众喜好呢？话我觉得优点绝对了，群众都喜欢的可以说明有很多好处，但不能太绝对地对所有人说这就是每个人的艺术。浅陋见解，望指正。,5,0,0.9999999995732558,positive,positive
