bvid,cid
BV11h411Z7hz,"119348970,""dimension"":{""width"":1920,""height"":1080,""rotate"":0},""season_id"":48627,""premiere"":null,""teenage_mode"":0,""is_chargeable_season"":false,""is_story"":false,""no_cache"":false,""pages"":[{""cid"":119348970,""page"":1,""from"":""vupload"",""part"":""【神仙打架】回顾2000年华语乐坛“疯狂”之路，全程都能跟着哼唱！"",""duration"":985,""vid"":"""",""weblink"":"""",""dimension"":{""width"":1920,""height"":1080,""rotate"":0}}],""subtitle"":{""allow_submit"":false,""list"":[]},""ugc_season"":{""id"":48627"
BV1uy4y1i7vD,267785786
BV1Z4411y73X,266271487
BV1bJ411N7qY,115908192
BV1oJ411A7eQ,116363320
BV1oJ411c7Du,117672811
BV1cJ41137RB,117850448
BV1PJ411G7eV,118192315
BV1zJ411g7xQ,118543819
BV1dJ411M7RV,119015647
BV17J411T7wJ,119348970
BV1yE411X7yv,119696605
BV1cE411D7VE,120518242
BV1ME411f7E2,121428542
BV1Fx411d7Ku,122299432
BV1GE411y7kE,99416901
BV1SE41167qy,123965598
BV1hE411y7Gi,124631241
BV12E411a7zS,125160383
BV1tE411h7ax,125738278
BV1rE41187i8,126184284
BV1PE411B7jm,126898479
BV1gE411q7vt,127570963
BV1AE411e72m,128100576
BV11J411S7uK,128901693
BV1JJ411U7g6,129295049
BV1pJ411d7V4,129662612
BV1AJ41197Bh,131101419
BV1CJ411876R,132131599
BV1g64y1f7g7,139096242
BV1Li4y1X72s,265060225
BV11h411Z7hz,473747783
BV1uy4y1i7vD,"119348970,""vid"":"""",""vtype"":""vupload"",""stats"":{""spmId"":""333.788.0.0"",""spmIdFrom"":""""},""t"":0,""fromDid"":null,""featureList"":{}}},""upData"":{""mid"":""78110942"",""name"":""耳朵听了能怀孕"",""approve"":false,""sex"":""保密"",""rank"":""10000"",""face"":""https:\u002F\u002Fi2.hdslb.com\u002Fbfs\u002Fface\u002F7ddc94b71499d57906afeda1da81d2922fe8627f.jpg"",""face_nft"":0,""face_nft_type"":0,""DisplayRank"":""0"",""regtime"":0,""spacesta"":0,""birthday"":"""",""place"":"""",""description"":"""",""article"":0,""attentions"":[],""fans"":788834,""friend"":0,""attention"":0,""sign"":""合作联系微❤️：EDTLNHY  \n但愿你听音乐是因为喜欢~~"",""level_info"":{""current_level"":6,""current_min"":0,""current_exp"":0,""next_exp"":0},""pendant"":{""pid"":0,""name"":"""",""image"":"""",""expire"":0,""image_enhance"":"""",""image_enhance_frame"":""""},""nameplate"":{""nid"":8,""name"":""知名偶像"",""image"":""https:\u002F\u002Fi1.hdslb.com\u002Fbfs\u002Fface\u002F27a952195555e64508310e366b3e38bd4cd143fc.png"",""image_small"":""https:\u002F\u002Fi0.hdslb.com\u002Fbfs\u002Fface\u002F0497be49e08357bf05bca56e33a0637a273a7610.png"",""level"":""稀有勋章"",""condition"":""所有自制视频总播放数\u003E=100万""},""Official"":{""role"":1"
BV1Z4411y73X,267785786
BV1bJ411N7qY,266271487
BV1oJ411A7eQ,115908192
BV1oJ411c7Du,116363320
BV1cJ41137RB,117672811
BV1PJ411G7eV,117850448
BV1zJ411g7xQ,118192315
BV1dJ411M7RV,118543819
BV17J411T7wJ,119015647
BV1yE411X7yv,119348970
BV1cE411D7VE,119696605
BV1ME411f7E2,120518242
BV1Fx411d7Ku,121428542
BV1GE411y7kE,122299432
BV1SE41167qy,99416901
BV1hE411y7Gi,123965598
BV12E411a7zS,124631241
BV1tE411h7ax,125160383
BV1rE41187i8,125738278
BV1PE411B7jm,126184284
BV1gE411q7vt,126898479
BV1AE411e72m,127570963
BV11J411S7uK,128100576
BV1JJ411U7g6,128901693
BV1pJ411d7V4,129295049
BV1AJ41197Bh,129662612
BV1CJ411876R,131101419
BV1g64y1f7g7,132131599
BV1Li4y1X72s,139096242
BV11h411Z7hz,265060225
BV1uy4y1i7vD,473747783
BV1Z4411y73X,267785786
BV1bJ411N7qY,266271487
BV1oJ411A7eQ,115908192
BV1oJ411c7Du,116363320
BV1cJ41137RB,117672811
BV1PJ411G7eV,117850448
BV1zJ411g7xQ,118192315
BV1dJ411M7RV,118543819
BV17J411T7wJ,119015647
BV1yE411X7yv,119348970
BV1cE411D7VE,119696605
BV1ME411f7E2,120518242
BV1Fx411d7Ku,121428542
BV1GE411y7kE,122299432
BV1SE41167qy,99416901
BV1hE411y7Gi,123965598
BV12E411a7zS,124631241
BV1tE411h7ax,125160383
BV1rE41187i8,125738278
BV1PE411B7jm,126184284
BV1gE411q7vt,126898479
BV1AE411e72m,127570963
BV11J411S7uK,128100576
BV1JJ411U7g6,128901693
BV1pJ411d7V4,129295049
BV1AJ41197Bh,129662612
BV1CJ411876R,131101419
BV1g64y1f7g7,132131599
BV1Li4y1X72s,139096242
