year,positive,neutral,negative
1991,0.4277,0.4696,0.1027
1992,0.4539,0.4494,0.0967
1993,0.4606,0.4311,0.1083
1994,0.4364,0.4629,0.1007
1995,0.435,0.4661,0.0989
1996,0.4683,0.415,0.1167
1997,0.4117,0.4717,0.1167
1998,0.4261,0.4633,0.1106
1999,0.4278,0.4572,0.115
2000,0.4672,0.4008,0.1319
2001,0.3925,0.4953,0.1122
2002,0.3911,0.4667,0.1422
2003,0.4158,0.4642,0.12
2004,0.4472,0.4054,0.1474
2005,0.513,0.3444,0.1426
2006,0.5061,0.3516,0.1423
2007,0.4688,0.3856,0.1456
2008,0.41,0.4478,0.1422
2009,0.4431,0.4467,0.1103
2010,0.4269,0.4567,0.1164
2011,0.4017,0.4425,0.1558
2012,0.4281,0.4456,0.1264
2013,0.4236,0.4394,0.1369
2014,0.4103,0.4411,0.1486
2015,0.4228,0.4189,0.1583
2016,0.3717,0.4589,0.1694
2017,0.3828,0.4486,0.1686
2018,0.3381,0.4711,0.1908
2019,0.3542,0.4664,0.1794
2020,0.4279,0.4688,0.1033
2021,0.4433,0.4456,0.1111
