rpid,name,content,like,rcount,sentiment_score,analysis_result,myown_analysis
1718591495,风里偷听,初听不知曲中意，再听已是付费曲[抠鼻][抠鼻],63845.0,530.0,0.025510346168924558,negative,netural
1721114292,肖鱿鱼,那年的电影也是神仙打架 0506到底是个怎么样的存在,1182.0,0.0,0.9968262664763622,positive,positive
1723448141,euterpe__,回复 @肖鱿鱼 :0506年动画也出了很多经典 鲁路修 cl 凉宫春日等,1067.0,0.0,0.953302541366774,positive,positive
1724975403,茉崔蒂Bili,初听不知曲中意，再听已是曲中人。,413.0,0.0,0.9076816612609095,positive,positive
1725617375,猜猜我捡到了什么,真实落泪,126.0,0.0,0.9574899728468574,positive,netural
1725974849,西西弗斯丶石头,hhhh,26.0,0.0,0.5,netural,netural
1726019071,NIvanAjamie,笑死了😂靓仔落泪,109.0,0.0,0.996755187842426,positive,netural
1726086382,风里偷听,回复 @NIvanAjamie :某有识蛋心，只要八块钱你还是个靓仔,69.0,0.0,0.8812712868870229,positive,netural
1726260412,吾名苍里,回复 @t06zflkm :凉宫春日哈哈哈哈,7.0,0.0,0.4491335562344996,netural,netural
1728440136,_璎珞_,扎心了，老铁,27.0,0.0,0.6049602779851169,netural,netural
1729442709,曲终弦断音未散,回复 @肖鱿鱼 :还有电视剧,42.0,0.0,0.8276149356298778,positive,positive
1729705605,软泥侠,回复 @Ar丶冷魂 :借私信说话。谢谢。,5.0,0.0,0.7970988594262289,positive,netural
1730371321,宕宕凼,很多回忆游戏也是那段时间喷井出来,47.0,0.0,0.996689985327449,positive,positive
1730634333,风里偷听,回复 @加油心中最好的软泥怪 :你想干吗(=ﾟДﾟ=),1.0,0.0,0.8199222644824435,positive,netural
1730650212,风里偷听,回复 @粉猪爸爸 :嗯哼(￣∀￣)16年开始，现在又有卡丁车来了[抠鼻],5.0,0.0,0.7942077340932601,positive,netural
1730762304,软泥侠,回复 @Ar丶冷魂 :想要八块钱当靓仔…[害羞],4.0,0.0,0.665307759516076,netural,netural
1731002001,电子木鱼VIP版,回复 @t06zflkm :cl是07.08的好fa,6.0,0.0,0.1748902156913268,negative,netural
1731061115,12398789321,回复 @加油心中最好的软泥怪 :8块的歌只能在线听,1.0,0.0,0.6209205965923651,netural,netural
1731095473,v的挚爱,回复 @肖鱿鱼 :0506维密也是台布大神的主场,76.0,0.0,0.14814662120801603,negative,positive
1731118040,露娜口袋银河,回复 @t06zflkm :还有fate,10.0,0.0,0.13225263621431305,negative,netural
1731337504,Lolla向前冲,过于真实,15.0,0.0,0.6326787975173401,netural,netural
1731785561,压梅蝶,太真实了[大哭],5.0,0.0,0.7645605404020178,positive,netural
1731832132,风里偷听,回复 @加油心中最好的软泥怪 :[惊讶][惊讶][惊讶],1.0,0.0,0.9972539366796508,positive,netural
1731853127,euterpe__,回复 @青青草原我做王 :记错了，air是05年的,3.0,0.0,0.9944732739774873,positive,netural
1732756681,zhu大人的老板娘,我的妈，0506是各个行业各路大神的打架现场吗,94.0,0.0,0.42669789791838586,netural,positive
1733310060,每天减肥一百遍,回复 @肖鱿鱼 :让我想到了0506的维密，也是神仙,32.0,0.0,0.9601283771403675,positive,positive
1733821240,不发光的银子,applemusic学生五元了解一下，一般周杰伦这类的港台艺人的歌曲都会在上面的,9.0,0.0,0.9324504935834632,positive,positive
1735836717,RTGO起飞,鲁鲁修[doge],7.0,0.0,0.2486684450312464,negative,netural
1736341772,涼风ima,回复 @t06zflkm :是啊，当年一部鲁路修，还有高达OO，超时空要塞F，忘记是不是同一年的了,34.0,0.0,0.07406711804258592,negative,netural
1738444449,东陆北岛,真实的地一匹,0.0,0.0,0.9336756270909392,positive,netural
1738798622,JwhAtY,什么叫再听付费，当年我他妈也是买的正版  cd 啊。,24.0,0.0,0.38998665735991833,netural,netural
1738989150,沧海一粟米,昨天才发现下歌要钱囧,3.0,0.0,0.3350422446630603,netural,netural
1739941044,禤翾_November,Jay的歌都收费了现在[傲娇],3.0,0.0,0.45419244074948195,netural,netural
1741913153,朝雾史织老公,我的绿钻大概也就这点用了。。。,2.0,0.0,0.4735839754245156,netural,netural
1742047930,巴拉拉小魔仙7654,一张dvd可能不到20块钱，收录200首歌。现在一首歌2块,26.0,0.0,0.016756471003004703,negative,negative
1743719611,V月上星辰,人才,0.0,0.0,0.6296296296296295,netural,netural
1744959730,皮皮_鲁_,回复 @JwhAtY :那个年代音乐网站都是免费的，不是盗版，就是免费的,23.0,0.0,0.03397740904678592,negative,positive
1744965624,皮皮_鲁_,回复 @巴拉拉小魔仙7654 :好奇这些钱都进谁口袋了,2.0,0.0,0.6336869608915636,netural,netural
1745370753,JwhAtY,回复 @赤水恋 :这种我认为那就是盗版的啊。人家唱片公司肯定没授权你上传。每次什么周杰伦、林俊杰、孙燕姿、飞儿出了专辑，我都买了 cd，在家用 windows media player 录成 mp3，用千千静听把歌词打一遍，收集全班  mp3 拷给他们。现在看来我就是盗版小商贩，只是没收钱。,23.0,0.0,0.002187587435021121,negative,netural
1746167101,皮皮_鲁_,回复 @JwhAtY :不是盗版，那时候都在qq音乐排榜，除了CD，都不需要钱,11.0,0.0,8.009122587759876e-05,negative,netural
1746167752,皮皮_鲁_,回复 @JwhAtY :那个时候就在说，以后听歌要收费的，当时没当回事,7.0,0.0,0.040541546902160386,negative,netural
1747705426,中源二哥,就是被版权搞的歌坛逐利。看看现在比以前不苛刻版权好了吗？,11.0,0.0,0.02834166086447687,negative,negative
1748329470,卸载蛋拐保平安,回复 @euterpe__ :网络小说那年也是爆炸,24.0,0.0,0.6295628487072518,netural,positive
1754611725,如此迷茫的me,不应该吗？,0.0,0.0,0.3693910911319984,netural,netural
1755318156,MooN_L1GhT,千年之恋 夜曲 一千年以后 大城小爱 不得不爱 不想长大 就是爱你 丝路 知足 大舌头 被风吹过的夏天 童话 暧昧 我会好好的 寂寞沙洲冷 美丽的神话 一直很安静 六月的雨 香水有毒,22.0,0.0,0.9999999015628743,positive,positive
1755854525,瑟瑟发抖的萌新啊,回复 @巴拉拉小魔仙7654 :那是盗版小光碟吧[呆],0.0,0.0,0.07458656089730564,negative,netural
1760229838,杰哥又老了一岁,回复 @中源二哥 :可是。。歌手也要恰饭的啊。[尴尬],1.0,0.0,0.6013238252380161,netural,netural
1716986390,无敌艾巴当,上来就干，不多bb。就喜欢这种up,35134.0,310.0,0.2511237005657653,negative
1727727296,心有孤狼,最讨厌那些啥盘点歌曲的营销号  开始就在那bbb一大堆废话,2280.0,0.0,0.08578800227712546,negative,netural
1728378855,哔站柠檬树又结果了,哈哈哈，小魔王，那个女的还引战恶心死了,563.0,0.0,0.3564960527475518,netural,netural
1729624696,xhlqwe,+13,23.0,0.0,0.5,netural,netural
1730106809,一列超高速的地铁丶,HELLO大家好，这里是音乐×××，每个人都有自己独一无二的青春，每个人的青春都有属于自己的歌，现在让我们回到2005年台湾音乐巅峰的时候，这时候人才辈出，一超多强，经典歌曲一个接一个，让我们回到那个时候，回忆属于自己青春的记忆。。。,6378.0,0.0,0.9999999999958218,positive,positive
1730868368,暮雨飘落,不bb两下投自制费事,420.0,0.0,0.04602078253788133,negative,negative
1731035170,子都航,确实，那些人屁话太多了,224.0,0.0,0.24215482731142746,negative
1731235272,橙橙橙WYQ,+14,14.0,0.0,0.5,netural
1731888198,银火校服套装HD,+15,12.0,0.0,0.5,netural
1731991226,六级了桀桀桀桀,回复 @我说丶我们一生不变 :明天来上班，吃住全包[抠鼻],52.0,0.0,0.024914518091450177,negative
1732942800,南夏一星,+16,1.0,0.0,0.5,netural
1733233612,直笑,＋99,1.0,0.0,0.5,netural
1733430876,煮酒蘸酱撒孜然,+18,0.0,0.0,0.5,netural
1733582799,-呜啦啦-,+1000,3.0,0.0,0.5,netural
1733865232,贰鼠,回复 @无敌艾巴当 :可能都被营销号恶心坏了吧,19.0,0.0,0.1677812940343527,negative
1735757474,あんな锦の宫,哈喽小伙伴们大家好……+10086[灵魂出窍],15.0,0.0,0.993418047044583,positive
1735855401,碧清河,+10000和10086,4.0,0.0,0.4737672181921908,netural
1736267718,StarFlash,+1008611,3.0,0.0,0.5,netural
1736308148,宇智波WE1,+666,2.0,0.0,0.5,netural
1738927015,DO_MORE_,+99,1.0,0.0,0.5,netural
1739012728,优_佬_雅_宅,回复 @哔站柠檬树又结果了 :你是新来的吗？不知道被点名的DJ是什么德行吗？盗窃你懂吗？,6.0,0.0,0.47912395792571416,netural
1739059391,哔站柠檬树又结果了,回复 @优_佬_雅_宅 :玩b站快五年了，确实不懂,3.0,0.0,0.9744408466846355,positive
1739946121,禤翾_November,没错没错,0.0,0.0,0.2689661087309597,negative
1739942042,禤翾_November,回复 @我说丶我们一生不变 :哈哈哈,2.0,0.0,0.8986637462488172,positive
1744250769,鹦鹉舞樱,回复 @我说丶我们一生不变 :你给我走开啊,2.0,0.0,0.6913035691095866,netural
1745549536,獺晨吖,+1314,0.0,0.0,0.5,netural
1748623879,优_佬_雅_宅,回复 @哔站柠檬树又结果了 :如果不知道就别BB，你的原创歌曲被我说拿过来说是我自己原创的，你努力创作出来的歌曲成就了我你是什么感受？,5.0,0.0,0.9993238689227328,positive
1748722893,哔站柠檬树又结果了,回复 @优_佬_雅_宅 :我在说什么你在说什么？,1.0,0.0,0.8217340891351387,positive
1749773355,李不卷儿,+66,0.0,0.0,0.5,netural
1754045898,酒酿丸子2333,( ̀⌄ ́),0.0,0.0,0.4737672181921908,netural
1755181423,鲨鱼的生命是牙齿,+10085,0.0,0.0,0.5,netural
1756950364,脸脸桑哒哒,+10086,0.0,0.0,0.5,netural
1757644538,_半夏微澜,➕n,0.0,0.0,0.5,netural
1759239255,怪骨销容堪岁月,回复 @一列超高速的地铁丶 :哈哈哈,0.0,0.0,0.808669815142117,positive
1761233249,狸果子不是果子狸,+(n+1）,1.0,0.0,0.5,netural
1762760698,大号的小猪,老子一巴掌，，，,1.0,0.0,0.6591964956815023,netural
1764992593,橘气黑喵,+10000号,0.0,0.0,0.3466935344594797,netural
1766726908,熏拳栀好帅,对对对？,0.0,0.0,0.5,netural
1766964599,GeorgeAnthony,+100,0.0,0.0,0.5,netural
1716312312,我是小太阳哈哈哈233,可怕的是我发现我现在听的还是这些歌,39941.0,713.0,0.5775777666938715,netural
1717997367,-小卢同学--,是啊，现在没什么能够让你听无数遍的歌了,792.0,0.0,0.7895834194466561,positive
1719419352,结缘神我老婆,不听这些这些歌就没什么好歌了，我都开始听向天再借五百年了,2540.0,0.0,0.4701090893066421,netural
1720012178,明宇Aurora,我只是回忆的时候听听,94.0,0.0,0.9915604059530552,positive
1720340799,卟啦不啦卟啦啦i,回复 @小时候谁没踩过屎 :越来越往80/90年代去听了,316.0,0.0,0.8354388336528095,positive
1720956493,永爱丶新兰,→_→我的手机里除了动漫歌曲。再就是十多年前的老歌，然后就是一些影视剧主题曲。,882.0,0.0,0.8955585105441528,positive
1721013483,1930的樱桃,回复 @杂交水稻之父-袁隆平 :我敲 我也是,44.0,0.0,0.9604837405287326,positive
1721088973,结缘神我老婆,回复 @1930来的樱桃 :以前的歌听着是真的舒服，不像现在没什么可以听得下去的,177.0,0.0,0.6873515461841397,netural
1721891953,靡湾,回复 @杂交水稻之父-袁隆平 :可是向天再借五百年也挺好听呀我觉得[大哭],136.0,0.0,0.9974618976082251,positive
1721911756,Marsha丨,回复 @小时候谁没踩过屎 :哈哈哈，我也听向天再借五百年了，很多歌虽然是老了，但是质量确实能顶住岁月的雕琢,216.0,0.0,0.9786323440069626,positive
1722154142,结缘神我老婆,回复 @我没写过去 :每次听这首歌，我就想把手压下去[doge],38.0,0.0,0.6403054228328171,netural
1722198772,靡湾,回复 @杂交水稻之父-袁隆平 :车上的歌单朋友总以为是我爸的歌单[滑稽],68.0,0.0,0.9991325278854298,positive
1722204112,结缘神我老婆,回复 @我没写过去 :我车上歌单还有两只蝴蝶，求佛，桃花朵朵开,60.0,0.0,0.4040360932804403,netural
1722349825,靡湾,回复 @杂交水稻之父-袁隆平 :都是以前特别火的歌,13.0,0.0,0.987254855694224,positive
1722654655,玖菜包,回复 @杂交水稻之父-袁隆平 :我_我也[捂脸],2.0,0.0,0.6366365891547608,netural
1722770592,佐鼬都是你,哈哈哈 一样的  我听杰伦跟eason,8.0,0.0,0.7197815514461208,positive
1722935719,丶琴瑟,回复 @杂交水稻之父-袁隆平 :你怎么和我一个23岁的老女人 听一样的歌曲[doge],25.0,0.0,0.9964286889998987,positive
