rpid,name,content,like,rcount,sentiment_score,analysis_result
2103396266,F一233,"1不为谁而作的歌
2陪你度过漫长岁月
3你曾是少年
4你的爱
5小幸运
6念念
7清风徐来
8墨
9我变了我没变
10失语者
11多远都要在一起
12勇敢
13下雨的夜晚
14当你老了
15我的梦
16演员
17易燃易爆炸
18再见只是陌生人
19年轮
20红颜旧
21远在眼前的你
22可以的话
23简爱
24不将就
25搞笑
26隔墙花
27血腥爱情故事
28异类
29反正我信了
30来自天堂的魔鬼
31就是现在
32无条件
33初夏
34一次就好
35关键词
36千古
37得不到的温柔
38创作者
39一念之间
40国王与乞丐
41绅士
42不说再见
43走着走着就散了
44宠爱
45badgirl",564,11,0.9999999997521671,positive
2105065136,Clearlove枫夏,我发觉有些人不是来听歌的，是来听人的，素质真的差。,282,7,0.08390964910041887,negative
2103357081,纠自,哇！还有三期就要开始年更了[doge],255,2,0.5798775641323725,neutral
2103423318,訫殇无痕,"1 不为谁而作的歌 林俊杰
2 陪你度过漫长岁月 陈奕迅
3 你曾是少年 S.H.E
4 你的爱 王力宏
5 小幸运 田馥甄
6 念念 刘若英
7 清风徐来 王菲
8 默 那英
9 我变了我没变 杨宗纬
10 失语者 蔡健雅
11 多远都要在一起 邓紫棋
12 勇敢 五月天
13 下雨的夜晚 苏打绿
14 当你老了 赵照
15 我的梦 张靓颖
16 演员 薛之谦
17 易燃易爆炸 陈粒
18 再见只是陌生人 庄心妍
19 年轮 张碧晨
20 红颜旧 刘涛
21 远在眼前的你 王心凌
22 可以的话 梁静茹
23 简爱 孙燕姿
24 不将就 李荣浩
25 搞笑 胡彦斌
26 隔墙花 周笔畅
27 血腥爱情故事 张惠妹
28 异类 华晨宇
29 反正我信了苏见信
30 来自天堂的魔鬼 邓紫棋
31 就是现在 王力宏
32 无条件 陈奕迅
33 初夏 刘瑞琪
34 一次就好 杨宗纬
35 关键词 林俊杰
36 千古 许嵩
37 得不到的温柔 汪苏泷
38 创作者 徐良/本兮
39 一念之间 张杰/莫文蔚
40 国王与乞丐 华晨宇/杨宗纬
41 绅士 薛之谦
42 同桌的你 好妹妹乐队
43 走着走着就散了 庄心妍
44 宠爱 TFBOYS
45 Bad Girl 吴亦凡
纯手打，希望支持一下，谢谢[微笑]",175,6,1.0,positive
2107064540,怠惰菌丶,你们是不是觉得没听过=质量差？真是有够扯的[无语],145,4,0.01027707640113762,negative
2103357810,吐槽阿瞒,就快到鸡你太美了！,131,8,0.9210795154934626,positive
2104247416,Krass-,我感觉弹幕的脾气都有点大嗷，一放近几年火的歌手就一直发“爬”和“呕”，你们是得有多牛批？？不爱听就不听呗，还得骂两句？你自己觉得不好听不代表这歌不好听噢，只是我们的喜好不一样而已，不要以为你听的歌手牛批你也就牛批。,283,42,0.01243953128015085,negative
2103532980,123呀带朵花,表白华晨宇！！！av55019688新世界av31639597降临av31541638斗牛,196,34,0.6273670438947926,neutral
2104063226,小小兔毛,b站还有这么多喷子，都2019了素质还是这么差[无语],51,2,0.08424744667888773,negative
2103373152,雨季会降临赤地__,为《你曾是少年》打call！！！,46,1,0.9917105756690663,positive
2113219986,力匕力匕,不明白为什么连苏运莹的《野子》都没有，有些歌手曾经辉煌过，但巅峰期过后歌曲质量真的不行了，就没必要必须给他们每人安排一首上榜，我认为这个这个歌单要么有传唱度，要么有质量，要么在当年有特殊意义...,29,2,0.980821568409119,positive
2107717174,鲁路修灬Cc,就是想扯两句，崇洋媚外真是什么年代都存在，是慕洋犬还是跪多了，中文就是翻唱，英文就是原版？还特么弹幕我只听过原版，左转查下华为主题曲资料不难。当然这只是个简单的例子，最近看到太多慕洋犬，实在没惹住就评论了,35,1,0.07649710457071657,negative
2103374465,许一生不嵩手,我这次到太早了，没发直接看有几首许嵩了,40,7,0.8090803185943718,positive
2103365441,蛤哈呵哈,离年更有少了一期[嫌弃],30,3,0.5736232637647726,neutral
2104142815,疯人院的小丑布雨yu,华晨宇15年的蜉蝣和地球之盐也不错[吃瓜][吃瓜],50,13,0.940024200989375,positive
2103435098,我需要保持清醒,听了这些歌感觉15年还没过多久，结果已经快20年了[大哭][大哭][大哭],25,3,0.8527952613483818,positive
2108587875,浅梦梨花雨,服了，你们到底是选歌还是选人？还有，都什么年代了还说三巨头都是口水歌？许嵩的歌词是口水歌能写的？汪苏泷天天参加各种节目就是为了证明自己，可现在还是那么多偏见，徐良更不说了，很多人早就不关注了，对他的印象停留在6年前了吧？,18,0,0.999999372205064,positive
2252103499,阿狸是我女漂QVQ,质量是不是越来越低什么的我不清楚，但人的素质越来越低弹幕就能看出来[吐],20,0,0.19860796017143412,negative
2201033748,离歌歌,"苏打绿这张专辑横扫金曲奖，一口气拿了最佳国语专辑、最佳乐团、最佳作词人、最佳编曲人 、最佳专辑制作人五个奖。
不是没有好歌，不是没有优秀的音乐人，是你们没发现而已。当然也不怪你们，现在流量占据市场，优秀的音乐人被淹没在流量下面了。",17,1,0.9998783385751284,positive
2123662057,江碧鸟白,华语乐坛[笑哭]05年是那些人，15年基本还是那些人,5,0,0.8342704063778543,positive
2104276028,是子慧鸭,表白华晨宇,30,0,0.240218523683985,negative
2104076999,屋塔房的女孩,鸡你太美快了吗[奸笑][奸笑],5,0,0.49620649774396874,neutral
2103571403,波塞冬公主,那个男人这一年鸽了[doge],16,1,0.5809674133981265,neutral
2154673223,夏宇咯,b站现在是怎么了？无脑跟风黑？不喜欢看快进不行？非要发弹幕骂几句？,20,0,0.12272133704191823,negative
2465567986,我永远喜欢霜星,现在这弹幕怎么回事。到处都是爬，滚，怎么滴没听过就质量不行？那你可真牛逼嗷，惹不起你们社会精神小伙,4,0,0.8059633003304815,positive
2151569223,星禾呈,"这弹幕，想开不想看，说心里话，来b站几年了，一直都觉得弹幕都是善意的，都是正能量的，结果今天一天刷完了这个系列，弹幕开的我真的难受，总有一些人，就那么一点点人，让人看的真的难受，有一点心疼。
（不管歌是什么风格，不管是不是土味，不管唱他的人怎样，他曾经很流唱过，或者说火过，也曾给人触动过，真的不值得。）",16,1,0.9999992884343382,positive
2128138259,泰瑞亚双刀侠,这一年的质量也挺高，其实变的真的不是乐坛，也不是观众审美水平下降了，只是时间在流逝罢了,4,1,0.9888526650178113,positive
2149582652,空之己殇,从14年开始有些弹幕就不做人了[洛天依_看透一切],16,3,0.863798217943926,positive
4997523826,小小屁颠,我就想笑了，后面一帮人自己不听了，不关注了，就在那喊不行了，不行了，都什么心里？你觉得不行就不行呗，疯狂刷些nt弹幕，真让人火大[无语],3,0,0.017380719059505,negative
2738356522,你猜我是什么馅的,林俊杰每年稳定输出,11,0,0.8717355323649058,positive
2638735025,羽生夫人yuzumt,我真的求求了！《冬 未了》那么多神仙作品为什么一定要选最流行的一首！安利给大家《他举起右手点名》《痛快的哀艳》《对杀人狂指控》《墙外的风景》《未了》！绝对不是大众眼中的苏打绿！我保证！,8,1,0.9999988887246293,positive
2148651021,轻音少女的期许,[嫌弃]有谁听完了这些歌，发现居然是一五年的。发现原来没过几年可是感觉已经是很久很久前的记忆了。突然发现自己还很年轻[喜极而泣][喜极而泣][喜极而泣],3,0,0.8795910456331085,positive
2106284049,不辞冰雪为卿热ting,超凶的异类，大哥带我去打架系列,12,0,0.08624585623542536,negative
2106134136,万恶得人,国王与乞丐是我路转粉的作品……,16,8,0.7196090051074744,positive
